Strategy,Protocol,Reference,Community source,Targeted function,Random selection control,Number of generations,Number of selection lines,Number of community per lines,Number of communities selected each generation,Percentage of selected communites
migrant pool,Swenson2000a,"Swenson, William, David Sloan Wilson, and Roberta Elias. 2000. ‰ÛÏArtificial Ecosystem Selection.‰Ûù Proceedings of the National Academy of Sciences of the United States of America 97 (16): 9110‰ÛÒ14.",plant-associated soil,"soil microbiome, plant host biomass",yes,16,2,15,3,0.2
migrant pool,Blouin2015,"Blouin, Manuel, Battle Karimi, JÌ©rÌ«me Mathieu, and Thomas Z. Lerch. 2015. ‰ÛÏLevels and Limits in Artificial Selection of Communities.‰Ûù Ecology Letters 18 (10): 1040‰ÛÒ48.",water treatment plant,lowest CO2 emmision,yes,20,6,30,3,0.1
migrant pool,Panke-Buisse2015,"Panke-Buisse, Kevin, Angela C. Poole, Julia K. Goodrich, Ruth E. Ley, and Jenny Kao-Kniffin. 2015. ‰ÛÏSelection on Soil Microbiomes Reveals Reproducible Impacts on Plant Function.‰Ûù The ISME Journal 9 (4): 980‰ÛÒ89.",plant-associated soil microbiome,early or late flowering time in the plant host,not available,10,1,14,4,0.28
migrant pool,Jochum2019,"Jochum, Michael D., Kelsey L. McWilliams, Elizabeth A. Pierson, and Young-Ki Jo. 2019. ‰ÛÏHost-Mediated Microbiome Engineering (HMME) of Drought Tolerance in the Wheat Rhizosphere.‰Ûù PloS One 14 (12): e0225933.",soil microbiome associated to dought-persistent grass,delayed onset of drought stress symptom in wheat seedlings establishment ,not available,6,1,50,5,0.1
migrant pool,Raynaud2019b,"Raynaud, Tiffany, Marion Devers, AymÌ© Spor, and Manuel Blouin. 2019. ‰ÛÏEffect of the Reproduction Method in an Artificial Selection Experiment at the Community Level.‰Ûù Frontiers in Ecology and Evolution 7: 416.",topsoil,biomass estimated by OD,yes,14,1,30,3,0.1
migrant pool,Mueller2019,"Mueller, Ulrich G., Thomas E. Juenger, Melissa R. Kardish, Alexis L. Carlson, Kathleen Burns, Joseph A. Edwards, Chad C. Smith, Chi-Chun Fang, and David L. Des Marais. 2019. ‰ÛÏArtificial Microbiome-Selection to Engineer Microbiomes That Confer Salt-Tolerance to Plants.‰Ûù bioRxiv. https://doi.org/10.1101/081521.",rhizospheres,biomass of plant host with salt-stress tolerance,not available,9,5,8,2,0.25
migrant pool,Wright2019,"Wright, Robyn J., Matthew I. Gibson, and Joseph A. Christie-Oleza. 2019. ‰ÛÏUnderstanding Microbial Community Dynamics to Improve Optimal Microbiome Selection.‰Ûù Microbiome 7 (1): 1‰ÛÒ14.",bulk marine debris,highest chitnase activity,yes,7,1,30,3,0.1
propagule,Swenson2000b,"Swenson, William, David Sloan Wilson, and Roberta Elias. 2000. ‰ÛÏArtificial Ecosystem Selection.‰Ûù Proceedings of the National Academy of Sciences of the United States of America 97 (16): 9110‰ÛÒ14.",aquatic microbiome from a pond,the highest or the lowest water pH,yes,40,1,24,6,0.25
propagule,Arora2019,"Arora, Jigyasa, Margaret Mars Brisbin, and Alexander S. Mikheyev. 2019. ‰ÛÏThe Microbiome Wants What It Wants: Microbial Evolution Overtakes Experimental Host-Mediated Indirect Selection.‰Ûù bioRxiv. https://doi.org/10.1101/706960.",fruitfly gut,shortest host eclosion time,yes,4,10,3,1,0.33
propagule,Raynaud2019a,"Raynaud, Tiffany, Marion Devers, AymÌ© Spor, and Manuel Blouin. 2019. ‰ÛÏEffect of the Reproduction Method in an Artificial Selection Experiment at the Community Level.‰Ûù Frontiers in Ecology and Evolution 7: 416.",topsoil,biomass estimated by OD,yes,14,3,10,1,0.1
propagule,Chang2020a,"Chang, Chang-Yu, Melisa L. Osborne, Djordje Bajic, and Alvaro Sanchez. 2020. ‰ÛÏArtificially Selecting Microbial Communities Using Propagule Strategies.‰Ûù bioRxiv. https://doi.org/10.1101/2020.05.01.066282.",synthetic communities with four known strains,amylolytic acitivities,yes,17,1,24,4,0.16
propagule,Chang2020b,"Chang, Chang-Yu, Melisa L. Osborne, Djordje Bajic, and Alvaro Sanchez. 2020. ‰ÛÏArtificially Selecting Microbial Communities Using Propagule Strategies.‰Ûù bioRxiv. https://doi.org/10.1101/2020.05.01.066282.",soil and leaves,cross-feeding potential,yes,7,1,92,23,0.25
